size,time
10,322
15,347
22,347
33,357
49,368
73,412
109,353
163,339
244,360
366,333
549,347
823,345
1234,469
1851,385
2776,385
4164,309
6246,399
9369,323
14053,341
21079,405
31618,346
47427,393
71140,449
106710,429
160065,870
240097,638
360145,876
540217,926
810325,957
1215487,977
1823230,1054
2734845,1479
4102267,1232
6153400,1395
9230100,1342
13845150,1452
