size,time
10,68799
15,2422
22,2614
33,2334
49,2054
73,1891
109,1572
163,1550
244,1247
366,1039
549,906
823,766
1234,855
1851,751
2776,885
4164,778
6246,881
9369,1087
14053,861
21079,1104
31618,1033
47427,1115
71140,1166
106710,1075
160065,1471
240097,1258
360145,1595
540217,1418
810325,1600
1215487,1870
1823230,1511
2734845,1822
4102267,1586
6153400,1789
9230100,1646
