size,time
10,12391
15,15721
22,11781
33,9383
49,8301
73,6243
109,4574
163,3476
244,2824
366,1992
549,1457
823,1000
1234,853
1851,604
2776,541
4164,528
6246,411
9369,454
14053,417
21079,409
31618,298
47427,349
71140,474
106710,323
160065,407
240097,360
360145,455
540217,591
810325,510
1215487,631
1823230,560
2734845,655
4102267,605
6153400,654
9230100,778
13845150,656
20767725,746
