size,time
10,375
15,252
22,350
33,371
49,392
73,208
109,215
163,556
244,423
366,442
549,336
823,463
1234,301
1851,375
2776,415
4164,325
6246,416
9369,358
14053,428
21079,617
31618,488
47427,690
71140,629
106710,805
160065,770
240097,1046
360145,1566
540217,1425
810325,1881
1215487,1710
1823230,1888
2734845,2674
4102267,2309
6153400,2738
9230100,2282
13845150,2610
