size,time
10,322
15,413
22,492
33,577
49,695
73,354
109,365
163,845
244,656
366,722
549,553
823,638
1234,530
1851,578
2776,592
4164,511
6246,609
9369,483
14053,607
21079,502
31618,580
47427,758
71140,673
106710,998
160065,1003
240097,1385
360145,2003
540217,1788
810325,2328
1215487,2087
1823230,2495
2734845,2318
4102267,2611
6153400,3086
9230100,2656
