size,time
10,430
15,369
22,392
33,534
49,301
73,296
109,286
163,823
244,443
366,413
549,344
823,415
1234,416
1851,366
2776,386
4164,282
6246,342
9369,299
14053,359
21079,476
31618,388
47427,620
71140,504
106710,652
160065,666
240097,840
360145,1080
540217,1044
810325,1246
1215487,1245
1823230,1382
2734845,1409
4102267,1491
6153400,1747
9230100,1618
