size,time
10,1413
15,1915
22,2164
33,1020
49,123
73,121
109,120
163,1016
244,941
366,655
549,647
823,460
1234,526
1851,375
2776,405
4164,490
6246,294
9369,287
14053,237
21079,282
31618,362
47427,290
71140,438
106710,388
160065,474
240097,568
360145,823
540217,1200
810325,1016
1215487,1496
1823230,1260
2734845,1552
4102267,2006
6153400,1767
9230100,2132
