size,time
10,222
15,178
22,291
33,377
49,203
73,201
109,203
163,387
244,442
366,390
549,385
823,298
1234,329
1851,286
2776,316
4164,365
6246,304
9369,376
14053,384
21079,469
31618,372
47427,621
71140,726
106710,679
160065,976
240097,949
360145,1360
540217,1951
810325,1629
1215487,2172
1823230,1674
2734845,2211
4102267,1973
6153400,2327
