size,time
10,350
15,368
22,358
33,403
49,397
73,427
109,491
163,452
244,921
366,465
549,532
823,456
1234,526
1851,710
2776,603
4164,709
6246,588
9369,855
14053,777
21079,950
31618,2311
47427,1253
71140,2194
106710,1540
160065,2731
240097,2375
360145,3573
540217,6266
810325,4245
1215487,7602
1823230,6241
2734845,10992
4102267,12176
