size,time
10,133
15,186
22,2651
33,3372
49,2350
73,2450
109,1795
163,1580
244,1505
366,1022
549,964
823,770
1234,700
1851,688
2776,590
4164,774
6246,584
9369,874
14053,770
21079,1036
31618,2653
47427,1349
71140,2171
106710,1636
160065,2999
240097,2161
360145,3490
540217,6408
810325,4005
1215487,7613
1823230,5558
2734845,8945
4102267,11706
