size,time
10,365
15,321
22,317
33,380
49,387
73,422
109,494
163,408
244,714
366,406
549,555
823,549
1234,592
1851,783
2776,548
4164,959
6246,674
9369,934
14053,890
21079,1175
31618,3162
47427,1380
71140,2764
106710,1714
160065,2896
240097,2537
360145,3895
540217,6670
810325,4330
1215487,8141
1823230,5609
2734845,10454
