size,time
10,1286
15,225
22,266
33,329
49,302
73,341
109,391
163,377
244,793
366,398
549,516
823,444
1234,512
1851,596
2776,561
4164,5855
6246,576
9369,1020
14053,758
21079,1161
31618,1258
47427,1535
71140,2840
106710,2075
160065,3425
240097,2870
360145,4196
540217,4398
810325,5396
1215487,9795
1823230,6747
2734845,12627
4102267,8817
