size,time
10,349
15,403
22,2538
33,529
49,494
73,510
109,518
163,511
244,844
366,579
549,755
823,1380
1234,1805
1851,9730
2776,22661
4164,38712
6246,71783
9369,132413
14053,170737
21079,297939
31618,393374
47427,666222
71140,1176796
