size,time
10,5519
15,1120
22,1407
33,1712
49,1550
73,1784
109,1597
163,1830
244,2029
366,1731
549,2047
823,1582
1234,1646
1851,1552
2776,1696
4164,7699
6246,1648
9369,2186
14053,1801
21079,2294
31618,2231
47427,2551
71140,3796
106710,3038
160065,4654
240097,3770
360145,5118
540217,5726
810325,6962
1215487,11725
1823230,7941
2734845,13318
4102267,11017
