size,time
10,369
15,234
22,243
33,242
49,152
73,164
109,167
163,442
244,347
366,358
549,287
823,303
1234,316
1851,244
2776,281
4164,233
6246,259
9369,205
14053,241
21079,295
31618,249
47427,342
71140,296
106710,434
160065,734
240097,667
360145,1104
540217,1038
810325,1480
1215487,1414
1823230,1753
2734845,2271
4102267,1922
6153400,2329
9230100,2005
