size,time
10,402
15,463
22,439
33,402
49,452
73,374
109,374
163,446
244,403
366,454
549,458
823,418
1234,489
1851,390
2776,396
4164,465
6246,450
9369,550
14053,466
21079,442
31618,534
47427,553
71140,799
106710,721
160065,814
240097,1122
360145,839
540217,721
810325,616
1215487,690
1823230,737
2734845,698
4102267,758
6153400,733
9230100,927
13845150,973
20767725,1068
