size,time
10,139
15,164
22,167
33,233
49,218
73,238
109,293
163,275
244,610
366,320
549,453
823,392
1234,454
1851,624
2776,488
4164,747
6246,616
9369,2780
14053,3029
21079,3635
31618,52964
47427,10611
71140,15039
106710,29296
160065,56862
240097,233501
360145,204868
