size,time
10,232
15,296
22,276
33,332
49,342
73,204
109,179
163,587
244,438
366,466
549,355
823,439
1234,353
1851,284
2776,330
4164,296
6246,346
9369,288
14053,423
21079,505
31618,383
47427,598
71140,543
106710,773
160065,745
240097,1013
360145,1361
540217,1397
810325,1758
1215487,1504
1823230,1897
2734845,2435
4102267,2038
6153400,2447
9230100,2198
13845150,2540
