size,time
10,372
15,221
22,275
33,259
49,310
73,167
109,179
163,438
244,352
366,365
549,286
823,314
1234,269
1851,306
2776,364
4164,322
6246,379
9369,355
14053,435
21079,514
31618,459
47427,641
71140,586
106710,777
160065,773
240097,1034
360145,1542
540217,1456
810325,1836
1215487,1818
1823230,2096
2734845,2618
4102267,2378
6153400,2928
9230100,2616
13845150,3057
