size,time
10,37114
15,6373
22,6520
33,5711
49,5113
73,2718
109,2472
163,3834
244,2580
366,2549
549,2629
823,2569
1234,2044
1851,2247
2776,2572
4164,2152
6246,2440
9369,2100
14053,2370
21079,2043
31618,2308
47427,2671
71140,2321
106710,2709
160065,2603
240097,3024
360145,3581
540217,3231
810325,3684
1215487,3351
1823230,3699
2734845,3422
4102267,3696
6153400,4134
9230100,3697
