size,time
10,136
15,175
22,206
33,241
49,223
73,250
109,293
163,280
244,648
366,307
549,384
823,377
1234,448
1851,699
2776,491
4164,741
6246,567
9369,879
14053,773
21079,1097
31618,3137
47427,1467
71140,2503
106710,1756
160065,2844
240097,2586
360145,3903
540217,6945
810325,4721
1215487,8729
1823230,6095
2734845,173602
