size,time
10,3230
15,328
22,411
33,504
49,556
73,275
109,264
163,621
244,468
366,477
549,362
823,404
1234,338
1851,351
2776,359
4164,298
6246,342
9369,337
14053,343
21079,324
31618,364
47427,456
71140,412
106710,544
160065,582
240097,743
360145,1032
540217,1004
810325,1237
1215487,1216
1823230,1384
2734845,1391
4102267,1448
6153400,1648
9230100,1528
13845150,1681
