size,time
10,373
15,347
22,359
33,481
49,450
73,274
109,238
163,523
244,418
366,512
549,381
823,428
1234,364
1851,360
2776,388
4164,347
6246,385
9369,343
14053,418
21079,361
31618,418
47427,581
71140,522
106710,793
160065,773
240097,1184
360145,1829
540217,1628
810325,2203
1215487,1965
1823230,2442
2734845,2202
4102267,2481
6153400,55658
